DLO Name,Label,Category,Status,Total Records,Created Date,DLO ID
SearchResults_5fc71ac2_2_chunk__dll,SearchResults Cumulus Products chunk,Content,ACTIVE,,2026-06-04T20:02:09.000Z,1dlam000001HgS5AAK
SearchResults_5fc71ac2_2_index__dll,SearchResults Cumulus Products index,Vector_Embedding,ACTIVE,,2026-06-04T20:02:44.000Z,1dlam000001HgS6AAK
SearchResults_abcb805e_4_chunk__dll,SearchResults CSAT chunk,Content,ACTIVE,,2026-05-23T16:44:20.000Z,1dlam000001HTg9AAG
SearchResults_abcb805e_4_index__dll,SearchResults CSAT index,Vector_Embedding,ACTIVE,,2026-05-23T16:44:56.000Z,1dlam000001HTgAAAW
SearchResults_b305ffa6_9_chunk__dll,SearchResults Conversation Entry chunk,Content,ACTIVE,,2026-06-17T03:31:53.000Z,1dlam000001HswJAAS
SearchResults_b305ffa6_9_index__dll,SearchResults Conversation Entry index,Vector_Embedding,ACTIVE,,2026-06-17T03:32:21.000Z,1dlam000001HswKAAS
SearchResults_d2db7053_2_chunk__dll,SearchResults Referral chunk,Content,ACTIVE,,2026-06-17T03:26:43.000Z,1dlam000001HsxtAAC
SearchResults_d2db7053_2_index__dll,SearchResults Referral index,Vector_Embedding,ACTIVE,,2026-06-17T03:27:10.000Z,1dlam000001HsxuAAC
SearchResults_d39c7e6d_d_chunk__dll,SearchResults Person Life Event chunk,Content,ACTIVE,,2026-06-17T03:27:47.000Z,1dlam000001Hst7AAC
SearchResults_d39c7e6d_d_index__dll,SearchResults Person Life Event index,Vector_Embedding,ACTIVE,,2026-06-17T03:28:14.000Z,1dlam000001Hst8AAC
SearchResults_f12d2600_2_chunk__dll,SearchResults Note_Home chunk,Content,ACTIVE,,2026-06-17T03:29:51.000Z,1dlam000001Ht17AAC
SearchResults_f12d2600_2_index__dll,SearchResults Note_Home index,Vector_Embedding,ACTIVE,,2026-06-17T03:30:18.000Z,1dlam000001Ht18AAC
SearchResults_fa78badd_d_chunk__dll,SearchResults Activity chunk,Content,ACTIVE,,2026-06-17T03:22:32.000Z,1dlam000001HsufAAC
SearchResults_fa78badd_d_index__dll,SearchResults Activity index,Vector_Embedding,ACTIVE,,2026-06-17T03:22:59.000Z,1dlam000001HsugAAC
ServiceAgentCopilotEvents__dll,Service Agent Copilot Events,Other,ACTIVE,559,2025-02-18T01:50:00.000Z,1dlam000000mEboAAE
ServiceAgentSessionEngagement__dll,Service Agent Session Engagement,Other,ACTIVE,,2025-02-18T01:49:27.000Z,1dlam000000mEbnAAE
SetupPageSearchMetadata_chunk__dll,Setup Page Search Metadata Chunk DMO,Content,ACTIVE,,2026-03-16T20:26:10.000Z,1dlam000001AnmrAAC
SetupPageSearchMetadata_index__dll,Setup Page Search Metadata Index DMO,Vector_Embedding,ACTIVE,,2026-03-16T20:26:36.000Z,1dlam000001AnmsAAC
sfm_AiAgentMoment__dll,AI Agent Moment,Engagement,ACTIVE,,2025-09-05T14:04:13.000Z,1dlam000000uWEwAAM
sfm_AiAgentMomentInteraction__dll,AI Agent Moment Interaction,Engagement,ACTIVE,,2025-09-05T14:00:19.000Z,1dlam000000uWd7AAE
sfm_AiAgentTag__dll,AI Agent Tag,Other,ACTIVE,,2025-09-05T14:00:10.000Z,1dlam000000uWZtAAM
sfm_AiAgentTagAssociation__dll,AI Agent Tag Association,Engagement,ACTIVE,,2025-09-05T14:04:20.000Z,1dlam000000uWurAAE
sfm_AiAgentTagDefinition__dll,AI Agent Tag Definition,Other,ACTIVE,,2025-09-05T14:08:17.000Z,1dlam000000uX1JAAU
sfm_AiAgentTagDefinitionAssociation__dll,AI Agent Tag Definition Association,Other,ACTIVE,,2025-09-05T14:04:27.000Z,1dlam000000uWwTAAU
sfmc_campaign_523021287__dll,SFMC Campaign 523021287,Other,ACTIVE,0,2024-12-20T16:23:42.000Z,1dlam000000lua1AAA
sfmc_contact_point_email_523021287__dll,SFMC Contact Point Email 523021287,Other,ACTIVE,0,2024-12-20T16:22:33.000Z,1dlam000000luZxAAI
sfmc_ees_email_snapshot_523021287__dll,SFMC EES Email Snapshot 523021287,Other,ACTIVE,0,2024-12-20T16:22:14.000Z,1dlam000000luZwAAI
sfmc_einstein_email_scores_523021287__dll,SFMC Einstein Email Scores 523021287,Insights,ACTIVE,0,2024-12-20T16:20:44.000Z,1dlam000000luZrAAI
sfmc_email_complaint_523021287__dll,SFMC Email Complaint 523021287,Engagement,ACTIVE,0,2024-12-20T16:21:30.000Z,1dlam000000luZuAAI
sfmc_email_engagement_bounce_523021287__dll,SFMC Email Engagement Bounce 523021287,Engagement,ACTIVE,0,2024-12-20T16:20:51.000Z,1dlam000000luZsAAI
sfmc_email_engagement_click_523021287__dll,SFMC Email Engagement Click 523021287,Engagement,ACTIVE,0,2024-12-20T16:22:58.000Z,1dlam000000luZzAAI
sfmc_email_engagement_open_523021287__dll,SFMC Email Engagement Open 523021287,Engagement,ACTIVE,0,2024-12-20T16:24:10.000Z,1dlam000000lua3AAA
sfmc_email_engagement_send_523021287__dll,SFMC Email Engagement Send 523021287,Engagement,ACTIVE,0,2024-12-20T16:21:52.000Z,1dlam000000luZvAAI
sfmc_email_publication_523021287__dll,SFMC Email Publication 523021287,Other,ACTIVE,0,2024-12-20T16:20:27.000Z,1dlam000000luZqAAI
sfmc_email_template_523021287__dll,SFMC Email Template 523021287,Other,ACTIVE,0,2024-12-20T16:22:46.000Z,1dlam000000luZyAAI
sfmc_email_unsubscribe_523021287__dll,SFMC Email Unsubscribe 523021287,Engagement,ACTIVE,0,2024-12-20T16:20:04.000Z,1dlam000000luZpAAI
sfmc_ent_profile_attribute_523021287__dll,SFMC Ent Profile Attribute 523021287,Profile,ACTIVE,0,2024-12-20T16:23:26.000Z,1dlam000000lua0AAA
sfmc_journey_523021287__dll,SFMC Journey 523021287,Other,ACTIVE,0,2024-12-20T16:24:53.000Z,1dlam000000lua5AAA
sfmc_journey_activity_523021287__dll,SFMC Journey Activity 523021287,Other,ACTIVE,0,2024-12-20T16:24:37.000Z,1dlam000000lua4AAA
sfmc_subscriber_523021287__dll,SFMC Subscriber 523021287,Profile,ACTIVE,0,2024-12-20T16:21:15.000Z,1dlam000000luZtAAI
sfmc_subscriber_bu_mapping_523021287__dll,SFMC Subscriber BU Mapping 523021287,Other,ACTIVE,0,2024-12-20T16:23:58.000Z,1dlam000000lua2AAA
