Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
Experience_Cloud_Event_Connector_contactPointAddress_8AE4378C,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Profile,0,Experience_Cloud_Event_Connecto_8AE4378C__dll,
Experience_Cloud_Event_Connector_contactPointEmail_8AE437A8,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Profile,0,Experience_Cloud_Event_Connecto_8AE437A8__dll,
Experience_Cloud_Event_Connector_contactPointPhone_8AE437C8,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Profile,0,Experience_Cloud_Event_Connecto_8AE437C8__dll,
ExperimentationLog_experimentation_BC0BD7EC,ExperimentationLog_a392f819_3f34_49a3_9384_1c46f19a59ce,,IngestApi,Engagement,0,ExperimentationLog_experimentat_BC0BD7EC__dll,2025-11-25T17:56:43.000Z
Financial_Transactions_Snow,Jedi_Snowflake,,SNOWFLAKE,Engagement,0,Financial_Transactions_Snow__dll,
Flow_Run_Ingestion_IdentityMatch_2EE55615,Flow_Run_Ingestion_40d11b72_942a_46c3_99aa_c7fa36695867,,IngestApi,Other,0,Flow_Run_Ingestion_IdentityMatc_2EE55615__dll,2025-09-09T16:20:43.000Z
ForecastingGroup_Home,SalesforceDotCom_Home,ForecastingGroup,SalesforceDotCom,Other,0,ForecastingGroup_Home__dll,2026-07-02T16:50:36.000Z
InsAfdc_PolicyholderPortal_Web_Behavioral_Events_3B3FA68,InsAfdc_PolicyholderPortal_Web_9e8435fa_ce05_440d_82db_ba3b6fc5dd71,,StreamingApp,Engagement,0,InsAfdc_PolicyholderPortal_Web_B_3B3FA68__dll,2025-10-20T22:52:11.000Z
Intermediary,Jedi_Snowflake,,SNOWFLAKE,Other,,Intermediary__dll,
KnowledgeArticleVersion_Home,SalesforceDotCom_Home,KnowledgeArticleVersion,SalesforceDotCom,Other,0,KnowledgeArticleVersion_Home__dll,2026-05-19T16:25:37.000Z
